date,url
1997-05-06,
1997-05-14,
1997-10-23,
1997-06-19,
1997-05-26,
1997-02-11,
1997-12-05,
1997-02-04,
1997-02-12,
1997-02-05,
1997-11-11,
1997-06-18,
1997-10-27,
1997-11-17,
1997-06-25,
1997-10-20,
1997-09-25,
1997-05-27,
1997-03-25,
1997-10-28,
1997-02-06,
1997-03-24,
1997-06-24,
1997-09-22,
1997-05-29,
1997-11-10,
1997-11-26,
1997-06-26,
1997-10-29,
1997-02-24,
1997-11-18,
1997-10-02,
1997-06-20,
1997-12-03,
1997-05-07,
1997-08-28,
1997-08-27,
1997-03-06,
1997-11-28,
1997-11-25,
1997-03-05,
1997-03-26,
1997-05-15,
1997-05-12,
1997-08-25,
1997-09-04,
1997-09-01,
1997-09-02,
1997-05-28,
1997-12-02,
1997-11-24,
1997-03-03,
1997-05-13,
1997-03-20,
1997-02-13,
1997-03-21,
1997-12-01,
1997-10-01,
1997-02-26,
1997-02-25,
1997-11-27,
1997-02-27,
1997-03-18,
1997-02-10,
1997-12-04,
1997-09-23,
1997-03-04,
1997-09-29,
1997-06-23,
1997-09-24,
1997-10-22,
1997-03-17,
1997-06-16,
1997-03-19,
1997-06-17,
1997-09-03,
1997-10-21,
1997-08-26,
1997-11-19,
1997-09-30,
1997-06-27,
1997-10-30,
1997-05-30,
