date,url
1941-10-08,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-10-08/toc_unixml/19411008_reps_16_168.xml;fileType=text%2Fxml
1941-10-29,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-10-29/toc_unixml/19411029_reps_16_169.xml;fileType=text%2Fxml
1941-11-05,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-05/toc_unixml/19411105_reps_16_169.xml;fileType=text%2Fxml
1941-11-06,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-06/toc_unixml/19411106_reps_16_169.xml;fileType=text%2Fxml
1941-11-07,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-07/toc_unixml/19411107_reps_16_169.xml;fileType=text%2Fxml
1941-11-12,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-12/toc_unixml/19411112_reps_16_169.xml;fileType=text%2Fxml
1941-11-13,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-13/toc_unixml/19411113_reps_16_169.xml;fileType=text%2Fxml
1941-11-14,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-14/toc_unixml/19411114_reps_16_169.xml;fileType=text%2Fxml
1941-11-18,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-18/toc_unixml/19411118_reps_16_169.xml;fileType=text%2Fxml
1941-11-19,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-19/toc_unixml/19411119_reps_16_169.xml;fileType=text%2Fxml
1941-11-20,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-20/toc_unixml/19411120_reps_16_169.xml;fileType=text%2Fxml
1941-11-21,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-21/toc_unixml/19411121_reps_16_169.xml;fileType=text%2Fxml
1941-11-25,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-25/toc_unixml/19411125_reps_16_169.xml;fileType=text%2Fxml
1941-11-26,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-11-26/toc_unixml/19411126_reps_16_169.xml;fileType=text%2Fxml
1941-12-16,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-12-16/toc_unixml/19411216_reps_16_169.xml;fileType=text%2Fxml
1941-12-17,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansardr80/1941-12-17/toc_unixml/19411217_reps_16_169.xml;fileType=text%2Fxml
