date,url,year,house
1984-08-24,,1984,hofreps
1984-09-04,,1984,hofreps
1984-09-05,,1984,hofreps
1984-09-06,,1984,hofreps
1984-09-07,,1984,hofreps
1984-09-10,,1984,hofreps
1984-09-11,,1984,hofreps
1984-09-12,,1984,hofreps
1984-09-13,,1984,hofreps
1984-10-02,,1984,hofreps
1984-10-03,,1984,hofreps
1984-10-04,,1984,hofreps
1984-10-05,,1984,hofreps
1984-10-08,,1984,hofreps
1984-10-09,,1984,hofreps
1984-10-10,,1984,hofreps
1984-10-11,,1984,hofreps
1985-02-21,,1985,hofreps
1985-02-22,,1985,hofreps
1985-02-25,,1985,hofreps
1985-02-26,,1985,hofreps
1985-02-27,,1985,hofreps
1985-02-28,,1985,hofreps
1985-03-19,,1985,hofreps
1985-03-20,,1985,hofreps
1985-03-21,,1985,hofreps
1985-03-22,,1985,hofreps
1985-03-25,,1985,hofreps
1985-03-26,,1985,hofreps
1985-03-27,,1985,hofreps
1985-03-28,,1985,hofreps
1985-04-16,,1985,hofreps
1985-04-17,,1985,hofreps
1985-04-18,,1985,hofreps
1985-04-19,,1985,hofreps
1985-04-22,,1985,hofreps
1985-04-23,,1985,hofreps
1985-05-07,,1985,hofreps
1985-05-08,,1985,hofreps
1985-05-09,,1985,hofreps
1985-05-10,,1985,hofreps
1985-05-14,,1985,hofreps
1985-05-15,,1985,hofreps
1985-05-16,,1985,hofreps
1985-05-20,,1985,hofreps
1985-05-21,,1985,hofreps
1985-05-22,,1985,hofreps
1985-05-23,,1985,hofreps
1985-05-31,,1985,hofreps
1985-08-20,,1985,hofreps
1985-08-21,,1985,hofreps
1985-08-22,,1985,hofreps
1985-08-23,,1985,hofreps
1985-09-10,,1985,hofreps
1985-09-11,,1985,hofreps
1985-09-12,,1985,hofreps
1985-09-13,,1985,hofreps
1985-09-16,,1985,hofreps
1985-09-17,,1985,hofreps
1985-09-18,,1985,hofreps
1985-09-19,,1985,hofreps
1985-10-08,,1985,hofreps
1985-10-09,,1985,hofreps
1985-10-10,,1985,hofreps
1985-10-11,,1985,hofreps
1985-10-14,,1985,hofreps
1985-10-15,,1985,hofreps
1985-10-16,,1985,hofreps
1985-10-17,,1985,hofreps
1985-11-12,,1985,hofreps
1985-11-13,,1985,hofreps
1985-11-14,,1985,hofreps
1985-11-15,,1985,hofreps
1985-11-18,,1985,hofreps
1985-11-19,,1985,hofreps
1985-11-20,,1985,hofreps
1985-11-21,,1985,hofreps
1985-11-25,,1985,hofreps
1985-11-26,,1985,hofreps
1985-11-27,,1985,hofreps
1985-11-28,,1985,hofreps
1985-11-29,,1985,hofreps
1986-02-11,,1986,hofreps
1986-02-12,,1986,hofreps
1986-02-13,,1986,hofreps
1986-02-14,,1986,hofreps
1986-02-17,,1986,hofreps
1986-02-18,,1986,hofreps
1986-02-19,,1986,hofreps
1986-02-20,,1986,hofreps
1986-03-11,,1986,hofreps
1986-03-12,,1986,hofreps
1986-03-13,,1986,hofreps
1986-03-14,,1986,hofreps
1986-03-18,,1986,hofreps
1986-03-19,,1986,hofreps
1986-03-20,,1986,hofreps
1986-04-08,,1986,hofreps
1986-04-09,,1986,hofreps
1986-04-10,,1986,hofreps
1986-04-11,,1986,hofreps
1986-04-14,,1986,hofreps
1986-04-15,,1986,hofreps
1986-04-16,,1986,hofreps
1986-04-17,,1986,hofreps
1986-04-29,,1986,hofreps
1986-04-30,,1986,hofreps
1986-05-01,,1986,hofreps
1986-05-02,,1986,hofreps
1986-05-05,,1986,hofreps
1986-05-06,,1986,hofreps
1986-05-07,,1986,hofreps
1986-05-08,,1986,hofreps
1986-05-20,,1986,hofreps
1986-05-21,,1986,hofreps
1986-05-22,,1986,hofreps
1986-05-23,,1986,hofreps
1986-05-26,,1986,hofreps
1986-05-27,,1986,hofreps
1986-05-28,,1986,hofreps
1986-05-29,,1986,hofreps
1986-06-02,,1986,hofreps
1986-06-03,,1986,hofreps
1986-06-04,,1986,hofreps
1986-06-05,,1986,hofreps
1986-08-19,,1986,hofreps
1986-08-20,,1986,hofreps
1986-08-21,,1986,hofreps
1986-08-22,,1986,hofreps
1986-09-16,,1986,hofreps
1986-09-17,,1986,hofreps
1986-09-18,,1986,hofreps
1986-09-19,,1986,hofreps
1986-09-22,,1986,hofreps
1986-09-23,,1986,hofreps
1986-09-24,,1986,hofreps
