date,url
1901-08-02,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-02/toc_unixml/19010802_senate_1_3.xml;fileType=text%2Fxml
1901-08-07,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-07/toc_unixml/19010807_senate_1_3.xml;fileType=text%2Fxml
1901-08-08,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-08/toc_unixml/19010808_senate_1_3.xml;fileType=text%2Fxml
1901-08-09,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-09/toc_unixml/19010809_senate_1_3.xml;fileType=text%2Fxml
1901-08-14,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-14/toc_unixml/19010814_senate_1_3.xml;fileType=text%2Fxml
1901-08-15,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-15/toc_unixml/19010815_senate_1_3.xml;fileType=text%2Fxml
1901-08-16,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-16/toc_unixml/19010816_senate_1_3.xml;fileType=text%2Fxml
1901-08-21,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-21/toc_unixml/19010821_senate_1_3.xml;fileType=text%2Fxml
1901-08-22,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-22/toc_unixml/19010822_senate_1_3.xml;fileType=text%2Fxml
1901-08-23,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-23/toc_unixml/19010823_senate_1_3.xml;fileType=text%2Fxml
1901-08-28,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-28/toc_unixml/19010828_senate_1_3.xml;fileType=text%2Fxml
1901-08-29,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-29/toc_unixml/19010829_senate_1_4.xml;fileType=text%2Fxml
1901-08-30,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-08-30/toc_unixml/19010830_senate_1_4.xml;fileType=text%2Fxml
1901-09-04,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-04/toc_unixml/19010904_senate_1_4.xml;fileType=text%2Fxml
1901-09-05,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-05/toc_unixml/19010905_senate_1_4.xml;fileType=text%2Fxml
1901-09-06,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-06/toc_unixml/19010906_senate_1_4.xml;fileType=text%2Fxml
1901-09-11,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-11/toc_unixml/19010911_senate_1_4_c1.xml;fileType=text%2Fxml
1901-09-12,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-12/toc_unixml/19010912_senate_1_4.xml;fileType=text%2Fxml
1901-09-13,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-13/toc_unixml/19010913_senate_1_4.xml;fileType=text%2Fxml
1901-09-18,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-18/toc_unixml/19010918_senate_1_4.xml;fileType=text%2Fxml
1901-09-19,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-19/toc_unixml/19010919_senate_1_4.xml;fileType=text%2Fxml
1901-09-20,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-20/toc_unixml/19010920_senate_1_4.xml;fileType=text%2Fxml
1901-09-25,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-25/toc_unixml/19010925_senate_1_4.xml;fileType=text%2Fxml
1901-09-26,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-26/toc_unixml/19010926_senate_1_4.xml;fileType=text%2Fxml
1901-09-27,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-09-27/toc_unixml/19010927_senate_1_4.xml;fileType=text%2Fxml
1901-10-02,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-10-02/toc_unixml/19011002_senate_1_4.xml;fileType=text%2Fxml
1901-10-03,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-10-03/toc_unixml/19011003_senate_1_4.xml;fileType=text%2Fxml
1901-10-04,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-10-04/toc_unixml/19011004_senate_1_5.xml;fileType=text%2Fxml
1901-10-09,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-10-09/toc_unixml/19011009_senate_1_5.xml;fileType=text%2Fxml
1901-10-10,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-10-10/toc_unixml/19011010_senate_1_5.xml;fileType=text%2Fxml
1901-10-11,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-10-11/toc_unixml/19011011_senate_1_5.xml;fileType=text%2Fxml
1901-10-23,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-10-23/toc_unixml/19011023_senate_1_5.xml;fileType=text%2Fxml
1901-10-30,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-10-30/toc_unixml/19011030_senate_1_5.xml;fileType=text%2Fxml
1901-11-06,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-06/toc_unixml/19011106_senate_1_5.xml;fileType=text%2Fxml
1901-11-07,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-07/toc_unixml/19011107_senate_1_5.xml;fileType=text%2Fxml
1901-11-08,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-08/toc_unixml/19011108_senate_1_6.xml;fileType=text%2Fxml
1901-11-13,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-13/toc_unixml/19011113_senate_1_6.xml;fileType=text%2Fxml
1901-11-14,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-14/toc_unixml/19011114_senate_1_6.xml;fileType=text%2Fxml
1901-11-15,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-15/toc_unixml/19011115_senate_1_6.xml;fileType=text%2Fxml
1901-11-20,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-20/toc_unixml/19011120_senate_1_6.xml;fileType=text%2Fxml
1901-11-21,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-21/toc_unixml/19011121_senate_1_6.xml;fileType=text%2Fxml
1901-11-22,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-22/toc_unixml/19011122_senate_1_6.xml;fileType=text%2Fxml
1901-11-27,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-27/toc_unixml/19011127_senate_1_6.xml;fileType=text%2Fxml
1901-11-28,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-28/toc_unixml/19011128_senate_1_6.xml;fileType=text%2Fxml
1901-11-29,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-11-29/toc_unixml/19011129_senate_1_6.xml;fileType=text%2Fxml
1901-12-04,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-12-04/toc_unixml/19011204_senate_1_6.xml;fileType=text%2Fxml
1901-12-05,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-12-05/toc_unixml/19011205_senate_1_6.xml;fileType=text%2Fxml
1901-12-06,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-12-06/toc_unixml/19011206_senate_1_6.xml;fileType=text%2Fxml
1901-12-11,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-12-11/toc_unixml/19011211_senate_1_7.xml;fileType=text%2Fxml
1901-12-12,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-12-12/toc_unixml/19011212_senate_1_7.xml;fileType=text%2Fxml
1901-12-13,https://parlinfo.aph.gov.au/parlInfo/download/hansard80/hansards80/1901-12-13/toc_unixml/19011213_senate_1_7.xml;fileType=text%2Fxml
